cert,bank,state,regulator,assets_k,exam_method,inv_rating,svc_rating,pe_date,route,contact,channel,address
628,"JPMorgan Chase Bank, National Association",OH,OCC,4091315000,Large Bank,,,03/11/2024,role,CRA Officer,www.jpmorganchase.com,"1111 Polaris Pkwy, Columbus, OH 43240"
3510,"Bank of America, National Association",NC,OCC,2654645000,Large Bank,,,01/03/2022,role,CRA Officer,www.bankofamerica.com,"100 N Tryon St, Charlotte, NC 28202"
7213,"Citibank, National Association",SD,OCC,1976180000,Large Bank,,,05/06/2024,role,CRA Officer,www.citibank.com,"5800 S Corporate Pl, Sioux Falls, SD 57108"
3511,"Wells Fargo Bank, National Association",SD,OCC,1907928000,Large Bank,,,02/06/2023,role,CRA Officer,www.wellsfargo.com,"3201 N 4th Ave, Sioux Falls, SD 57104"
33124,Goldman Sachs Bank USA,NY,FED,758788000,Wholesale,,,"Jul 08, 2019",role,CRA Officer,www.marcus.com,"200 West St, New York, NY 10282"
6548,U.S. Bank National Association,OH,OCC,705554946,Large Bank,,,01/18/2022,role,CRA Officer,www.usbank.com,"425 Walnut St, Cincinnati, OH 45202"
4297,"Capital One, National Association",VA,OCC,662157000,Large Bank,,,08/28/2023,role,CRA Officer,www.capitalone.com,"1680 Capital One Dr, Mclean, VA 22102"
6384,"PNC Bank, National Association",DE,OCC,609771726,Large Bank,,,06/06/2022,role,CRA Officer,www.pnc.com,"222 Delaware Ave, Wilmington, DE 19801"
9846,Truist Bank,NC,FDIC,548346000,Large Bank Evaluation,Outstanding,Outstanding,01/01/2025,role,CRA Officer,www.Truist.com,"214 N Tryon St, Charlotte, NC 28202"
639,The Bank of New York Mellon,NY,FED,425115000,Wholesale,Outstanding,Low Satisfactory,"Nov 19, 2018",role,CRA Officer,www.bny.com,"240 E Greenwich St, New York, NY 10007"
32992,"Morgan Stanley Bank, National Association",UT,OCC,419318000,Strategic Plan,,,02/13/2023,role,CRA Officer,,"201 S Main St, Salt Lake City, UT 84111"
14,State Street Bank and Trust Company,MA,FED,412620000,Wholesale,,,"Sep 27, 2021",role,CRA Officer,www.statestreet.com,"One Congress Street, Boston, MA 02114"
18409,"TD Bank, National Association",DE,OCC,342803746,Large Bank,,,07/01/2024,role,CRA Officer,www.td.com/us/en/personal-banking/,"2035 Limestone Rd, Wilmington, DE 19808"
6672,"Fifth Third Bank, National Association",OH,OCC,299177000,Large Bank,,,07/07/2025,role,CRA Officer,www.53.com,"38 Fountain Square Plz, Cincinnati, OH 45202"
6560,The Huntington National Bank,OH,OCC,283073605,Large Bank,,,07/31/2023,role,CRA Officer,www.huntington.com,"17 S High St, Columbus, OH 43215"
16571,BMO Bank National Association,IL,OCC,254972746,Large Bank,,,04/03/2023,role,CRA Officer,www.bmo.com,"320 S Canal St, Chicago, IL 60606"
57450,"Charles Schwab Bank, SSB",TX,FED,250828000,Strategic Plan,,,"Oct 14, 2025",role,CRA Officer,www.schwabbank.com,"3000 Schwab Way, Westlake, TX 76262"
34221,"Morgan Stanley Private Bank, National Association",NY,OCC,250425000,Strategic Plan,,,02/03/2025,role,CRA Officer,www.etrade.com,"2000 Westchester Ave, Purchase, NY 10577"
11063,First-Citizens Bank & Trust Company,NC,FDIC,236317000,Large Bank Evaluation,High Satisfactory,High Satisfactory,08/01/2023,role,CRA Officer,www.firstcitizens.com,"239 Fayetteville St, Raleigh, NC 27601"
59017,First Republic Bank,CA,FDIC,232944161,Large Bank Evaluation,High Satisfactory,Outstanding,04/01/2022,role,CRA Officer,,"111 Pine St, San Francisco, CA 94111"
57957,"Citizens Bank, National Association",RI,OCC,232517438,Large Bank,,,09/26/2022,role,CRA Officer,www.citizensbank.com,"1 Citizens Plz, Providence, RI 02903"
588,Manufacturers and Traders Trust Company,NY,FED,218788000,Large Bank,High Satisfactory,High Satisfactory,"Sep 07, 2020",role,CRA Officer,www.mtb.com,"1 M And T Plz, Buffalo, NY 14203"
27471,American Express National  Bank,UT,OCC,213946192,Limited Purpose Bank,,,06/02/2025,role,CRA Officer,www.americanexpress.com,"115 W Towne Ridge Pkwy, Sandy, UT 84070"
17534,KeyBank National Association,OH,OCC,188555486,Large Bank,,,04/03/2023,role,CRA Officer,www.key.com,"127 Public Sq, Cleveland, OH 44114"
57803,Ally Bank,UT,FED,188184000,Strategic Plan,,,"Sep 28, 2020",role,CRA Officer,www.ally.com,"200 W Civic Center Dr, Sandy, UT 84070"
913,The Northern Trust Company,IL,FED,178566494,Wholesale,Outstanding,High Satisfactory,"Oct 15, 2018",role,CRA Officer,www.northerntrust.com,"50 S La Salle St, Chicago, IL 60603"
57890,"HSBC Bank USA, National Association",VA,OCC,173101278,Large Bank,,,09/30/2024,role,CRA Officer,https://www.about.us.hsbc.com/hsbc-in-the-usa,"1800 Tysons Blvd, Tysons, VA 22102"
12368,Regions Bank,AL,FED,159787000,Large Bank,High Satisfactory,Low Satisfactory,"Mar 04, 2019",role,CRA Officer,http://www.regions.com,"1900 5th Ave N, Birmingham, AL 35203"
5649,Discover Bank,DE,FDIC,145412640,Strategic Plan Evaluation,,,10/01/2022,role,CRA Officer,,"502 E Market St, Greenwood, DE 19950"
35583,Pinnacle Bank,TN,FED,128791735,Large Bank Evaluation,Outstanding,High Satisfactory,01/01/2024,role,CRA Officer,www.pnfp.com,"21 Platform Way S, Nashville, TN 37203"
57565,"UBS Bank USA, National Association",UT,OCC,124438468,Strategic Plan Evaluation,,,07/01/2024,role,CRA Officer,http://www.ubs.com/cefs/en/ubs-bank-usa/ubs-bank-usa.html,"95 S State St, Salt Lake City, UT 84111"
27314,Synchrony Bank,UT,OCC,115217000,Limited Purpose Bank,,,05/05/2025,role,CRA Officer,www.synchronybank.com,"170 W Election Rd, Draper, UT 84020"
57053,Signature Bank,NY,FDIC,110363650,Large Bank Evaluation,Substantial Non Complianc,Substantial Non Complianc,10/01/2022,role,CRA Officer,,"565 5th Ave, New York, NY 10017"
32188,USAA Federal Savings Bank,AZ,OCC,106188000,Strategic Plan,,,06/16/2025,role,CRA Officer,www.usaa.com,"1 Norterra Dr, Phoenix, AZ 85085"
29950,"Santander Bank, N.A.",DE,OCC,103964782,Large Bank,,,01/08/2024,role,CRA Officer,www.santander.com,"824 N Market St, Wilmington, DE 19801"
17281,City National Bank,CA,OCC,99102519,Large Bank,,,03/27/2023,role,CRA Officer,www.cnb.com,"555 S Flower St, Los Angeles, CA 90071"
57512,Western Alliance Bank,AZ,FED,98568765,Strategic Plan,High Satisfactory,High Satisfactory,"May 27, 2025",named,Craig Robinson,(408) 689-8417,"1 E Washington St, Phoenix, AZ 85004"
3514,Bank of the West,CA,FDIC,91580361,Large Bank Evaluation,Outstanding,Outstanding,05/01/2021,role,CRA Officer,,"180 Montgomery St, San Francisco, CA 94104"
2270,"Zions Bancorporation, N.A.",UT,OCC,89041284,Large Bank,,,07/08/2024,role,CRA Officer,www.zionsbancorporation.com,"1 S Main St, Salt Lake City, UT 84133"
32541,"Flagstar Bank, National Association",NY,OCC,87714456,Large Bank,,,10/09/2023,role,CRA Officer,www.flagstar.com,"102 Duffy Ave, Hicksville, NY 11801"
18221,"Webster Bank, National Association",CT,OCC,85895199,Large Bank,,,09/11/2023,role,CRA Officer,www.websterbank.com,"1959 Summer St, Stamford, CT 06905"
31628,East West Bank,CA,FED,84318631,Large Bank,Needs to Improve,Low Satisfactory,"Mar 08, 2021",role,CRA Officer,https://www.eastwestbank.com,"135 N Los Robles Ave, Pasadena, CA 91101"
4977,First Horizon Bank,TN,FED,84116168,Large Bank,Outstanding,High Satisfactory,"Nov 30, 2020",role,CRA Officer,www.firsthorizon.com,"165 Madison Ave, Memphis, TN 38103"
3832,Old National Bank,IN,OCC,73857462,Large Bank,,,11/03/2025,role,CRA Officer,www.oldnational.com,"1 Main St, Evansville, IN 47708"
8273,"UMB Bank, National Association",MO,OCC,71898588,Large Bank,,,06/22/2023,role,CRA Officer,www.umb.com,"1010 Grand Blvd, Kansas City, MO 64106"
33555,"SouthState Bank, National Association",FL,OCC,68794317,Large Bank,,,05/06/2024,role,CRA Officer,www.southstatebank.com,"1101 1st St S, Winter Haven, FL 33880"
33306,CIBC Bank USA,IL,FED,66504376,Large Bank Evaluation,Outstanding,Outstanding,02/01/2022,role,CRA Officer,us.cibc.com,"120 S La Salle St, Chicago, IL 60603"
9396,Valley National Bank,NJ,OCC,66227555,Large Bank,,,07/14/2025,role,CRA Officer,www.valley.com,"615 Main Ave, Passaic, NJ 07055"
17266,Columbia Bank,OR,FDIC,65367657,Large Bank Evaluation,Outstanding,High Satisfactory,07/01/2024,role,CRA Officer,www.columbiabank.com/,"445 Se Main St, Roseburg, OR 97470"
34968,Banco Popular de Puerto Rico,PR,FED,63342000,Large Bank,Low Satisfactory,High Satisfactory,"Jun 23, 2025",role,CRA Officer,www.popular.com,"209 Avenida Luis Munoz Rivera, San Juan, PR 00918"
16022,New York Community Bank,NY,FDIC,62909410,Large Bank Evaluation,High Satisfactory,High Satisfactory,05/01/2021,role,CRA Officer,,"102 Duffy Ave, Hicksville, NY 11801"
5510,Frost  Bank,TX,FED,53950075,Large Bank,Outstanding,High Satisfactory,"Mar 04, 2024",role,CRA Officer,www.frostbank.com,"111 W Houston St, San Antonio, TX 78205"
11813,Cadence Bank,MS,FED,53529044,Large Bank Evaluation,Outstanding,Outstanding,08/01/2023,role,CRA Officer,,"201 S Spring St, Tupelo, MS 38804"
4214,"BOKF, National Association",OK,OCC,52984896,Large Bank,,,07/10/2023,role,CRA Officer,www.bokfinancial.com,"1 Williams Ctr, Tulsa, OK 74172"
5296,"Associated Bank, National Association",WI,OCC,51756540,Large Bank,,,09/09/2024,role,CRA Officer,www.associatedbank.com,"200 N Adams St, Green Bay, WI 54301"
7888,First National Bank of Pennsylvania,PA,OCC,50801922,Large Bank,,,08/26/2024,role,CRA Officer,www.fnb-online.com,"166 Main St, Greenville, PA 16125"
33653,Bank of China,NY,OCC,48520695,Wholesale Bank,,,01/06/2025,role,CRA Officer,,"1045 Avenue Of The Americas, New York, NY 10018"
34775,"EverBank, National Association",FL,OCC,46690554,Large Bank,,,11/11/2024,role,CRA Officer,www.everbank.com,"301 W Bay St, Jacksonville, FL 32202"
33893,Raymond James Bank,FL,FED,45602712,Large Bank,Outstanding,High Satisfactory,"May 22, 2023",role,CRA Officer,www.raymondjamesbank.com,"710 Carillon Pkwy, Saint Petersburg, FL 33716"
16835,Prosperity Bank,TX,FDIC,43875300,Large Bank Evaluation,High Satisfactory,Low Satisfactory,11/01/2023,role,CRA Officer,www.prosperitybankusa.com,"1301 N Mechanic St, El Campo, TX 77437"
57203,Barclays Bank Delaware,DE,FDIC,43454000,Strategic Plan Evaluation,,,02/01/2026,role,CRA Officer,www.barclaysus.com/deposits,"125 S West St, Wilmington, DE 19801"
4063,MidFirst Bank,OK,OCC,42834126,Large Bank,,,10/23/2023,role,CRA Officer,www.midfirst.com,"501 Nw Grand Blvd, Oklahoma City, OK 73118"
110,Bank OZK,AR,FDIC,41703134,Large Bank Evaluation,Outstanding,Low Satisfactory,06/01/2026,role,CRA Officer,http://www.ozk.com,"18000 Cantrell Rd, Little Rock, AR 72223"
623,Deutsche Bank Trust Company Americas,NY,FED,40535000,Wholesale,,,"Jun 18, 2018",role,CRA Officer,http://www.db.com,"1 Columbus Cir, New York, NY 10019"
34589,Atlantic Union Bank,VA,FED,38020862,Large Bank,Low Satisfactory,Low Satisfactory,"Oct 16, 2023",role,CRA Officer,www.atlanticunionbank.com,"1051 E Cary St, Richmond City, VA 23219"
12441,Hancock Whitney Bank,MS,FDIC,36329257,Large Bank Evaluation,Outstanding,Outstanding,07/01/2025,role,CRA Officer,www.hancockwhitney.com,"2510 14th St, Gulfport, MS 39501"
24998,Commerce Bank,MO,FED,35017320,Large Bank,Outstanding,Outstanding,"Nov 28, 2022",role,CRA Officer,www.commercebank.com,"1000 Walnut St, Kansas City, MO 64106"
24045,Banc of California,CA,FED,34899077,Large Bank Evaluation,Outstanding,Outstanding,07/01/2021,role,CRA Officer,www.bancofcal.com,"11611 San Vicente Blvd, Los Angeles, CA 90049"
58979,"BankUnited, National Association",FL,OCC,34864976,Large Bank,,,10/21/2024,role,CRA Officer,www.BankUnited.com,"14817 Oak Ln, Miami Lakes, FL 33016"
5452,First National Bank of Omaha,NE,OCC,34201445,Large Bank,,,05/27/2025,role,CRA Officer,www.fnbo.com,"1601 Capitol Avenue, Omaha, NE 68102"
22858,United Bank,VA,FED,33638881,Large Bank,Needs to Improve,High Satisfactory,"Oct 17, 2022",role,CRA Officer,www.bankwithunited.com,"11185 Fairfax Blvd, Fairfax, VA 22030"
34383,Texas Capital Bank,TX,FED,33622998,Large Bank Evaluation,High Satisfactory,Outstanding,02/01/2024,role,CRA Officer,www.texascapitalbank.com,"2000 Mckinney Ave, Dallas, TX 75201"
7551,"Fulton Bank, National Association",PA,OCC,32561169,Large Bank,,,07/15/2024,role,CRA Officer,www.fultonbank.com,"1 Penn Sq, Lancaster, PA 17602"
33947,"TD Bank USA, National Association",DE,OCC,32125899,Limited Purpose Bank,,,09/18/2023,role,CRA Officer,www.td.com/us/en/personal-banking/,"2035 Limestone Rd, Wilmington, DE 19808"
30788,Glacier Bank,MT,FDIC,31577225,Large Bank Evaluation,High Satisfactory,High Satisfactory,03/01/2026,role,CRA Officer,www.glacierbank.com,"49 Commons Loop, Kalispell, MT 59901"
32773,Eastern Bank,MA,FDIC,31129348,Large Bank Evaluation,Outstanding,Outstanding,09/01/2025,role,CRA Officer,www.easternbank.com,"125 High St, Boston, MA 02110"
7946,"BNY Mellon, National Association",PA,OCC,30616000,Wholesale Bank,,,07/10/2023,role,CRA Officer,www.bny.com,"500 Grant St, Pittsburgh, PA 15258"
20234,City National Bank of Florida,FL,OCC,29112337,Large Bank,,,08/19/2024,role,CRA Officer,www.citynational.com,"25 W Flagler St, Miami, FL 33130"
16889,United Community Bank,SC,FED,28987812,Large Bank Evaluation,High Satisfactory,High Satisfactory,03/01/2021,role,CRA Officer,www.ucbi.com,"200 E Camperdown Way, Greenville, SC 29601"
35546,Axos Bank,CA,OCC,28870387,Large Bank,,,04/24/2023,role,CRA Officer,www.axosbank.com,"4350 La Jolla Village Dr, San Diego, CA 92122"
58177,Sallie Mae Bank,UT,FDIC,28541289,Strategic Plan Evaluation,,,03/01/2024,role,CRA Officer,www.salliemae.com,"175 S West Temple, Salt Lake City, UT 84101"
20504,Ameris Bank,GA,FDIC,28419119,Large Bank Evaluation,High Satisfactory,Low Satisfactory,05/01/2024,role,CRA Officer,http://www.amerisbank.com,"3490 Piedmont Rd Ne, Atlanta, GA 30305"
8728,Arvest Bank,AR,FED,28053172,Large Bank,Needs to Improve,Low Satisfactory,"Sep 27, 2021",role,CRA Officer,www.arvest.com,"75 N East Ave, Fayetteville, AR 72701"
28892,Investors Bank,NJ,FDIC,27951072,Large Bank Evaluation,High Satisfactory,Outstanding,02/01/2022,role,CRA Officer,,"101 John F Kennedy Pkwy, Short Hills, NJ 07078"
803,"WesBanco Bank, Inc.",WV,FDIC,27745993,Large Bank Evaluation,,Outstanding,07/01/2023,role,CRA Officer,www.wesbanco.com,"1 Bank Plz, Wheeling, WV 26003"
28088,WaFd Bank,WA,FDIC,27577403,Large Bank Evaluation,High Satisfactory,High Satisfactory,03/01/2026,role,CRA Officer,www.wafdbank.com,"425 Pike St, Seattle, WA 98101"
12437,Renasant Bank,MS,FED,26986725,Large Bank Evaluation,High Satisfactory,High Satisfactory,12/01/2024,role,CRA Officer,www.renasant.com,"209 Troy St, Tupelo, MS 38804"
33497,"Charles Schwab Premier Bank, SSB",TX,FED,26576000,Strategic Plan,,,"Oct 14, 2025",role,CRA Officer,,"3000 Schwab Way, Westlake, TX 76262"
34444,Customers Bank,PA,FED,26503549,Large Bank,Low Satisfactory,Low Satisfactory,"Nov 02, 2020",role,CRA Officer,www.customersbank.com,"40 General Warren Blvd, Malvern, PA 19355"
1105,First Interstate Bank,MT,FED,25794971,Large Bank,Low Satisfactory,High Satisfactory,"Mar 18, 2019",role,CRA Officer,www.firstinterstatebank.com,"401 N 31st St, Billings, MT 59101"
12010,Provident Bank,NJ,FDIC,25650552,Large Bank Evaluation,Outstanding,High Satisfactory,01/01/2026,role,CRA Officer,http://www.provident.Bank,"239 Washington St, Jersey City, NJ 07302"
58303,"Ameriprise Bank, FSB",MN,OCC,25480877,Large Bank,,,04/25/2022,role,CRA Officer,www.ameriprise.com,"901 3rd Avenue South, Minneapolis, MN 55402"
9712,Rockland Trust Company,MA,FDIC,24968842,Large Bank Evaluation,Outstanding,High Satisfactory,04/01/2024,role,CRA Officer,http://www.rocklandtrust.com,"288 Union St, Rockland, MA 02370"
3890,Simmons Bank,AR,FED,24732685,Large Bank,Low Satisfactory,Low Satisfactory,"Sep 06, 2022",role,CRA Officer,www.simmonsbank.com,"501 S Main St, Pine Bluff, AR 71601"
18503,Cathay Bank,CA,FDIC,24640966,Large Bank Evaluation,Outstanding,High Satisfactory,02/01/2026,role,CRA Officer,www.cathaybank.com,"777 N Broadway, Los Angeles, CA 90012"
11241,Centennial Bank,AR,FED,24551658,Large Bank,Low Satisfactory,Low Satisfactory,"Sep 10, 2018",role,CRA Officer,http://www.my100bank.com,"620 Chestnut St, Conway, AR 72032"
58457,TriState Capital Bank,PA,FED,24258271,Strategic Plan Evaluation,,,07/01/2022,role,CRA Officer,http://www.tscbank.com,"1 Oxford Ctr, Pittsburgh, PA 15219"
18053,Bank of Hawaii,HI,FED,23808407,Large Bank,Outstanding,Outstanding,"Mar 13, 2023",role,CRA Officer,www.boh.com,"111 S King St, Honolulu, HI 96813"
17985,First Hawaiian Bank,HI,FDIC,23648513,Large Bank Evaluation,Outstanding,Outstanding,12/01/2025,role,CRA Officer,www.fhb.com,"999 Bishop St, Honolulu, HI 96813"
28359,"OceanFirst Bank, National Association",NJ,OCC,23172826,Large Bank,,,11/18/2024,role,CRA Officer,www.oceanfirst.com,"975 Hooper Ave, Toms River, NJ 08753"
35095,TowneBank,VA,FDIC,22616959,Large Bank Evaluation,Outstanding,Outstanding,02/01/2026,role,CRA Officer,www.townebank.com,"5716 High St W, Portsmouth, VA 23703"
17838,"Wilmington Savings Fund Society, FSB",DE,OCC,22565353,Large Bank,,,10/23/2023,role,CRA Officer,www.wsfsbank.com,"500 Delaware Ave, Wilmington, DE 19801"
33682,State Bank of India,NY,FDIC,22507930,Wholesale Bank Evaluation,,,10/01/2024,role,CRA Officer,,"425 Park Ave, New York, NY 10022"
6600,First Financial Bank,OH,FED,22351293,Large Bank,Low Satisfactory,High Satisfactory,"Jun 12, 2023",role,CRA Officer,www.bankatfirst.com,"255 E 5th St, Cincinnati, OH 45202"
17798,Beacon Bank and Trust,MA,FED,22201546,Large Bank,Low Satisfactory,Low Satisfactory,"Sep 09, 2024",role,CRA Officer,www.beaconbank.com,"131 Clarendon St, Boston, MA 02116"
57408,"Optum Bank, Inc.",UT,FDIC,21430000,Strategic Plan Evaluation,,,06/01/2026,role,CRA Officer,www.optumbank.com,"12921 S Vista Station Blvd, Draper, UT 84020"
131,Seacoast National Bank,FL,OCC,21335888,Large Bank,,,05/05/2025,role,CRA Officer,www.seacoastbank.com,"815 S Colorado Ave, Stuart, FL 34994"
4365,First Merchants Bank,IN,FDIC,21320482,Large Bank Evaluation,Outstanding,High Satisfactory,10/01/2025,role,CRA Officer,http://www.firstmerchants.com,"200 E Jackson St, Muncie, IN 47305"
1768,Mechanics Bank,CA,FDIC,21245166,Large Bank Evaluation,Outstanding,Substantial Non Complianc,11/01/2022,role,CRA Officer,www.mechanicsbank.com,"1111 Civic Dr, Walnut Creek, CA 94596"
21716,"Citizens Business Bank, National Association",CA,OCC,21182524,Large Bank Evaluation,High Satisfactory,Outstanding,08/01/2023,role,CRA Officer,http://www.cbbank.com,"701 N Haven Ave, Ontario, CA 91764"
8056,Merchants Bank of Indiana,IN,FDIC,21170764,Strategic Plan Evaluation,,,07/01/2026,role,CRA Officer,www.bankmerchants.com,"410 Monon Blvd, Carmel, IN 46032"
12633,The Central Trust Bank,MO,FED,20307848,Large Bank,Low Satisfactory,High Satisfactory,"Oct 01, 2018",role,CRA Officer,www.centralbank.net,"238 Madison St, Jefferson City, MO 65101"
33826,Columbia State Bank,WA,FDIC,20258988,Large Bank Evaluation,Outstanding,Outstanding,10/01/2020,role,CRA Officer,,"1301 A St, Tacoma, WA 98402"
16068,Apple Bank,NY,FDIC,19887242,Large Bank Evaluation,Low Satisfactory,High Satisfactory,01/01/2024,role,CRA Officer,www.applebank.com,"122 E 42nd St, New York, NY 10168"
57311,Stifel Bank and Trust,MO,FED,19620017,Strategic Plan,Outstanding,High Satisfactory,"Mar 23, 2020",role,CRA Officer,www.stifelbank.com,"501 N Broadway, Saint Louis, MO 63102"
30387,FirstBank Puerto Rico,PR,FDIC,19222073,Large Bank Evaluation,Outstanding,High Satisfactory,02/01/2026,role,CRA Officer,www.1firstbank.com,"1519 Ave Ponce De Leon, Santurce, PR 00909"
26610,Bank of Hope,CA,FDIC,18987133,Large Bank Evaluation,High Satisfactory,Low Satisfactory,01/01/2025,role,CRA Officer,www.bankofhope.com,"3200 Wilshire Blvd, Los Angeles, CA 90010"
57993,ServisFirst Bank,AL,FDIC,18344113,Large Bank Evaluation,High Satisfactory,High Satisfactory,07/01/2026,role,CRA Officer,WWW.SERVISFIRSTBANK.COM,"2500 Woodcrest Pl, Birmingham, AL 35209"
16450,Busey Bank,IL,FED,18147004,Large Bank Evaluation,,Substantial Non Complianc,12/01/2022,named,Matthew Sabatino,CRA@busey.com,"100 W University Ave, Champaign, IL 61820"
30012,Third Federal Savings and Loan Association of Cleveland,OH,OCC,18062658,Large Bank,,,11/20/2023,role,CRA Officer,www.thirdfederal.com,"7007 Broadway Ave, Cleveland, OH 44105"
3076,Independent Bank,TX,FDIC,17535258,Large Bank Evaluation,Low Satisfactory,Low Satisfactory,12/01/2023,role,CRA Officer,,"7777 Henneman Way, Mckinney, TX 75070"
6989,"Community Bank, National Association",NY,OCC,17447957,Large Bank,,,10/06/2025,role,CRA Officer,www.cbna.com,"45-49 Court Street, Canton, NY 13617"
27237,Enterprise Bank & Trust,MO,FED,17357139,Large Bank Evaluation,Outstanding,Outstanding,12/01/2023,role,CRA Officer,http://www.enterprisebank.com,"150 N Meramec Ave, Clayton, MO 63105"
28178,Northwest Bank,PA,FDIC,17206047,Large Bank Evaluation,High Satisfactory,High Satisfactory,03/01/2024,role,CRA Officer,WWW.NORTHWEST.COM,"100 Liberty St, Warren, PA 16365"
58458,HTLF Bank,CO,FDIC,17203997,Large Bank Evaluation,,,03/01/2023,role,CRA Officer,,"1800 Larimer St, Denver, CO 80202"
57542,Toyota Financial Savings Bank,NV,FDIC,16786286,Wholesale Bank Evaluation,,,10/01/2024,role,CRA Officer,www.toyotabank.com,"2485 Village View Dr, Henderson, NV 89074"
8663,FirstBank,TN,FED,16760169,Large Bank Evaluation,,Substantial Non Complianc,07/01/2023,role,CRA Officer,www.firstbankonline.com,"1221 Broadway, Nashville, TN 37203"
4239,First United Bank and Trust Company,OK,FED,16594244,Large Bank Evaluation,High Satisfactory,High Satisfactory,06/01/2024,role,CRA Officer,www.firstunitedbank.com,"1400 W Main St, Durant, OK 74701"
28489,Banner Bank,WA,FDIC,16586212,Large Bank Evaluation,Outstanding,Outstanding,07/01/2025,role,CRA Officer,www.bannerbank.com,"10 S 1st Ave, Walla Walla, WA 99362"
33681,Bank of Baroda,NY,FDIC,16237538,Wholesale Bank Evaluation,,,04/01/2024,role,CRA Officer,,"1 Park Ave, New York, NY 10016"
7230,"NBT Bank, National Association",NY,OCC,16091731,Large Bank,,,10/02/2023,role,CRA Officer,www.nbtbank.com,"52 S Broad St, Norwich, NY 13815"
58665,Live Oak Banking Company,NC,FDIC,15959938,Strategic Plan Evaluation,,,09/01/2025,role,CRA Officer,www.liveoak.bank,"1757 Tiburon Dr, Wilmington, NC 28403"
26876,Safra National Bank of New York,NY,OCC,15692063,Wholesale Bank,,,06/23/2025,role,CRA Officer,www.safra.com,"546 5th Ave, New York, NY 10036"
4767,"Sunflower Bank, National Association",TX,OCC,15653917,Large Bank,,,11/20/2023,role,CRA Officer,www.sunflowerbank.com,"8117 Preston Rd, Dallas, TX 75225"
57038,Nicolet National Bank,WI,OCC,15390715,Large Bank,,,07/29/2024,role,CRA Officer,www.nicoletbank.com,"111 N Washington St, Green Bay, WI 54301"
3066,First Financial Bank,TX,FED,15234117,Large Bank,Outstanding,Outstanding,"Jun 03, 2024",role,CRA Officer,www.ffin.com/,"400 Pine St, Abilene, TX 79601"
19581,Bell Bank,ND,FDIC,15182711,Large Bank Evaluation,High Satisfactory,High Satisfactory,12/01/2024,role,CRA Officer,www.bell.bank,"520 Main Ave, Fargo, ND 58103"
6976,Dime Commercial Bank,NY,FED,15033530,Large Bank,High Satisfactory,High Satisfactory,"Jul 30, 2018",role,CRA Officer,www.dime.com,"898 Veterans Memorial Hwy, Hauppauge, NY 11788"
34967,Popular Bank,NY,FED,15032815,Large Bank,Low Satisfactory,High Satisfactory,"Sep 15, 2025",role,CRA Officer,www.popularbank.com,"85 Broad St, New York, NY 10004"
25178,"Bank of America California, National Association",CA,OCC,14814000,Wholesale Bank,,,12/31/2015,role,CRA Officer,www.bankofamerica.com,"555 California St, San Francisco, CA 94104"
57358,Stifel Bank,MO,FED,14623006,Strategic Plan,,,"Mar 04, 2024",role,CRA Officer,www.stifelbankstl.com,"501 N Broadway, Saint Louis, MO 63102"
57919,ConnectOne Bank,NJ,FDIC,14402382,Large Bank Evaluation,Outstanding,Low Satisfactory,07/01/2026,role,CRA Officer,www.connectonebank.com,"301 Sylvan Ave, Englewood Cliffs, NJ 07632"
19977,Israel Discount Bank of New York,NY,FDIC,14393999,Wholesale Bank Evaluation,,,02/01/2024,role,CRA Officer,www.idbny.com,"1114 Avenue Of The Americas, New York, NY 10036"
29209,NexBank,TX,FDIC,14159389,Large Bank Evaluation,High Satisfactory,Low Satisfactory,09/01/2025,role,CRA Officer,www.nexbank.com,"2515 Mckinney Ave, Dallas, TX 75201"
57570,Comenity Capital Bank,UT,FDIC,13859050,Strategic Plan Evaluation,,,05/01/2026,role,CRA Officer,Savings.Breadfinancial.com,"12921 S Vista Station Blvd, Draper, UT 84020"
35141,BMW Bank of North America,UT,FDIC,13795765,Strategic Plan Evaluation,,,06/01/2026,role,CRA Officer,http://www.bmwusa.com,"2855 East Cottonwood Parkway, Salt Lake City, UT 84121"
15019,First Bank,NC,FED,13032205,Large Bank,High Satisfactory,High Satisfactory,"Nov 06, 2023",role,CRA Officer,www.localfirstbank.com,"205 Se Broad St, Southern Pines, NC 28387"
27476,BancFirst,OK,FED,12804688,Large Bank Evaluation,High Satisfactory,Low Satisfactory,08/01/2021,role,CRA Officer,www.bancfirst.bank,"100 N Broadway Ave, Oklahoma City, OK 73102"
32245,"Dollar Bank, Federal Savings Bank",PA,OCC,12696318,Large Bank,,,01/02/2024,role,CRA Officer,www.dollar.bank,"340 4th Ave, Pittsburgh, PA 15222"
17491,PlainsCapital Bank,TX,FED,12684839,Large Bank,Needs to Improve,Low Satisfactory,"May 17, 2021",role,CRA Officer,www.plainscapital.com,"6565 Hillcrest Ave, University Park, TX 75205"
6653,The Park National Bank,OH,OCC,12608562,Large Bank,,,04/10/2023,role,CRA Officer,www.parknationalbank.com,"50 N 3rd St, Newark, OH 43055"
59052,NBH Bank,CO,FED,12537055,Large Bank,Low Satisfactory,Low Satisfactory,"Sep 17, 2018",role,CRA Officer,www.nbhbank.com,"7800 E Orchard Rd, Greenwood Village, CO 80111"
32551,"Happen Bank, National Association",UT,OCC,12476843,Intermediate Small Bank,,,08/19/2024,role,CRA Officer,www.happen.com,"2701 N Thanksgiving Way, Lehi, UT 84043"
